Konsulentrolle,Rollekategori,Kompetansekrav,Erfaringskrav,Konsulentegenskaper,Kundenavn,Bransje,Årstall
Prosjektkoordinator SAP oppgradering og ny teknisk plattform,Prosjektledelse,"Relevant utdanning på masternivå, minimum 2 års erfaring, dokumentert erfaring fra prosjektarbeid knyttet til koordinering/endring/ledelse, forståelse og interesse for tekniske problemstillinger.","Fire års erfaring som prosjektkoordinator og prosjektleder, erfaring fra systemoppgraderinger, produksjonssetting av nye tekniske løsninger, og innføring av nye arbeidsprosesser. Erfaring med PRINCE2, SAFe Agilist, Half Double Foundation, Certified Scrum Master.","Opptatt av tverrfaglig samarbeid, effektiv kommunikasjon og inkluderende interessenthåndtering, imøtekommende og jordnær, vant med å rapportere til prosjektleder, styringsgruppe og andre interessenter.",Helse Vest RHF,Helse,2023
Prosjektkoordinator for SAP oppgradering og ny teknisk plattform,Prosjektledelse,Relevant utdanning på masternivå. Dokumentert erfaring fra prosjektarbeid knyttet til koordinering/endring/ledelse. Forståelse og interesse for tekniske problemstillinger vil være en fordel.,Minimum 2 års relevant erfaring,,Helse Vest RHF,Helse,2023
Informasjonsarkitekt,Virksomhetsarkitektur,"Bred IT faglig bakgrunn, god forståelse for utfordringer knyttet til informasjonsstrukturer og informasjonsflyt i helsetjenesten, omfattende erfaring med datamodeller, databasestrukturer og tilhørende teknologier, erfaring fra master data management, kjennskap til kodeverk og registre i helsesektoren.","Omfattende erfaring med datamodeller, databasestrukturer og erfaring fra master data management.","Evnen til å tenke helhetlig på brukerbehov, oversette tekniske beskrivelser til bilder, illustrasjoner og modeller, gode kommunikasjons- og samarbeidsevner, evne til å jobbe i team, ryddig, strukturert, gode koordineringsegenskaper.",Helse Midt-Norge RHF,Helse,2023
Prosjektleder serversikring,Prosjektledelse,Dokumentert erfaring innen prosjektledelse av komplekse IT prosjekter innenfor områdene Server/operativsystem/IKT-sikkerhet i løpet av de siste 5 år. Dokumentert erfaring fra tilsvarende arbeid innenfor implementering av sikkerhetsrammeverk og IKT-sikkerhetsarbeid i komplekse IT løsninger. Erfaring med ledelse av leveranser innenfor automatisert konfigurasjonsstyring av Linux operativsystem. Erfaring med ITIL-rammeverket.,"Dokumentert erfaring fra IKT-relaterte oppdrag i helsesektoren/andre beredskapsorganisasjoner, fortrinnsvis spesialisthelsetjenesten, er en fordel.",God skriftlig og muntlig fremstillingsevne på norsk. Personlig egnethet vil vektlegges.,Helse Nord IKT,Helse,2023
Kartlegger 1,Tjenestedesign,"Strukturert og analytisk. God til å kartlegge og forstå brukernes behov. God teknisk forståelse for løsningene og de rammebetingelser som foreligger. Kan planlegge og lede møter/workshops både fysisk og nettbasert. Koordinering, oppfølging og planlegging av oppgaver/leveranser. God til å dokumentere behov og prosesser.","Dokumentert erfaring med kartlegging og analyse, fortrinnsvis innenfor spesialisthelsetjenesten.",Kan forklare og beskrive vanskelige problemstillinger på en enkel måte. Omgjengelig og rund i kantene.,Helse Nord IKT,Helse,2023
Kartlegger 2,Tjenestedesign,"Strukturert og analytisk. God til å kartlegge og forstå brukernes behov. God teknisk forståelse for løsningene og de rammebetingelser som foreligger. Kan planlegge og lede møter/workshops både fysisk og nettbasert. Koordinering, oppfølging og planlegging av oppgaver/leveranser. God til å dokumentere behov og prosesser.","Dokumentert erfaring med kartlegging og analyse, fortrinnsvis innenfor spesialisthelsetjenesten.",Kan forklare og beskrive vanskelige problemstillinger på en enkel måte. Omgjengelig og rund i kantene.,Helse Nord IKT,Helse,2023
Tjenestedesign og prosesskartlegging - fagekspert,Tjenestedesign,Strukturert og analytisk. God teknisk forståelse. Erfaring med tjenestedesignmetodikk.,"23 års erfaring innen tjenestedesign, prosessledelse, kartleggingsarbeid.",Omgjengelig og rund i kantene. Evne til å lytte og skape tillit.,Helse Nord IKT,Helse,2023
Tjeneste-designer,Tjenestedesign,Strukturert og analytisk. God til å kartlegge og forstå brukernes behov. God teknisk forståelse.,Erfaring med prosesskartlegging og brukerhistorier.,Omgjengelig og rund i kantene.,Helse Nord IKT,Helse,2023
Rådgiver organisasjonsutvikling,Endringsledelse,"Dokumentert erfaring med prosessledelse og endringsledelse, sertifiseringer som understøtter dette, fasilitering og ledelse av workshoper, moderne IT-drift og utvikling, organisasjonsutvikling, kjennskap til IKT-drift innenfor spesialisthelsetjenesten vil være en fordel","Inngående kjennskap og erfaring med moderne IKT-forvaltning og utvikling, erfaring fra omorganiseringsprosesser","Gode samarbeids- og kommunikasjonsferdigheter, evne til å jobbe strukturert og være løsningsorientert, grundig og selvgående, god skriftlig og muntlig fremstillingsevne på norsk",Helse Nord IKT,Helse,2023
Rådgiver organisasjonsutvikling til konseptfase i Helhetlig forvaltning,Endringsledelse,"God dokumentert erfaring innen prosess og endringsledelse, med sertifiseringer som understøtter dette, og dokumentert erfaring med organisasjonsutvikling.","Dokumentert erfaring med fasilitering og ledelse av workshoper, erfaring innen moderne IT-drift og utvikling, teamorganisering, dev-ops, og produktorganisering.",Personlig egnethet som understøttes av intervju.,Helse Nord IKT,Helse,2023
Senior arkitekt for utredning av diagnoseinformasjon,Løsningsarkitektur,Dokumentert erfaring med store og komplekse systemlandskap og hvordan grensesnitt henger sammen. Dokumentert erfaring minimum 3 års erfaring. Dokumentert erfaring med datamodellering og informasjons-/integrasjonsarkitektur. Dokumentert erfaring med å tegne modeller og løsninger i Archimate eller annet verktøy. God skriftlig og muntlig fremstillingsevne på norsk.,"Minimum 3 års erfaring, mer enn 30 års erfaring inkludert roller som IT-arkitekt, fasilitator, systemutvikler og teknisk prosjektleder.","Kreativ, pragmatisk med evne til å forstå og anvende komplekse konsepter, god erfaring med informasjonssikkerhet og personvern (GDPR).",Direktoratet for e-helse,Helse,2023
Prosjektleder,Prosjektledelse,"Doktorgrad i ingeniørvitenskap, erfaring med opplæring, undervisning, prosessledelse, evaluering og prosjektledelse.","16+ års erfaring inkludert ulykkesgranskning, risikoanalyse og risikomodellering.","Meget erfaren instruktør, undervist i ledelse og risikomodellering, prosess- og evalueringserfaring.",Helseplattformen AS,Helse,2023
Prosjektmedlem,Rådgivning teknisk,"Doktorgrad i organisasjonspsykologi, solid erfaring med MTO-metodikk og Human Factors, bred pedagogisk erfaring.","25+ års erfaring innen granskningsprosjekt, evalueringer og analyser.","Rutinert leder, kvalitetssikrer, erfaring med læring, kultur, endring, omstilling.",Helseplattformen AS,Helse,2023
Prosjektmedlem,Økonomi og analyse,"Sivilingeniør i bærekrafts-, arbeidsmiljø- og sikkerhetsledelse.","Tidligere prosjekter med risikovurdering, sikkerhetsledelse og HMS.","Interesser for digitale lærings- og analysemiljøer, positiv erfaring i samarbeid og tverrfaglige team.",Helseplattformen AS,Helse,2023
Ansvarlig for kvalitetssikring,Offentlig kvalitetssikring,"Spesialist i organisasjonspsykologi, erfaring med trenings- og opplæringsprogram.",25+ års erfaring med prosjektledelse og kvalitetssikring.,"Prosessleder, rådgiver, erfaring fra kartlegging og evaluering.",Helseplattformen AS,Helse,2023
Seniorrådgiver,Endringsledelse,"Erfaring med prosjekt- og endringsledelse, sykepleierutdanning, pedagogikk.","10+ års erfaring i kommunal sektor, omfattende erfaring med tverrsektorielle prosjekter.","Strukturert, analytisk, god kommunikasjon, leder av endringsprosjekter.",Helseplattformen AS,Helse,2023
Seniorrådgiver,Endringsledelse,"Prosjektledelse, endringsledelse, tjenesteutvikling, datainnsamling og innsiktsarbeid.","Prosjektledelse i offentlig sektor, evaluering av prosjekter og arbeidsmetodikker.","Kreativ, pedagogisk, systematisk i testing av nye løsninger.",Helseplattformen AS,Helse,2023
Evaluator for opplæringsmetodikk,Kurs og opplæring,Ekspertise i evalueringsprosess for opplæringsmetodikker,Spesialist med minst 8 års erfaring,"Analytisk, strukturert, god kommunikasjonsferdighet",Helseplattformen AS,Helse,2023
Evaluator for praktisk opplæring,Kurs og opplæring,Evne til å analysere og forbedre praktiske opplæringer,Juniorkonsulent med opptil 2 års erfaring,"Lærevillig, god observasjonsevne, samarbeidsvillig",Helseplattformen AS,Helse,2023
Strategi- og ledelsesbistand,Strategisk ledelse,"Høy kompetanse og erfaring fra strategisk ledelse i store organisasjoner. Kunnskap og erfaring med ledelse av tverrfaglige, autonome team.","Vesentlig erfaring fra strategisk ledelse i komplekse organisasjoner, helst dokumentert i referanser og tidligere roller.",,Helse Midt-Norge RHF,Helse,2023
Ressurs- og porteføljestyring,Ledelsesbistand innen overordnet ressurs- og porteføljestyring,Erfaring fra ressurs- og porteføljestyring i lignende organisasjoner.,"Kompetanse og erfaring innen styring av ressurser på tvers av utvikling, drift, forvaltning og prosjekter.",,Helse Midt-Norge RHF,Helse,2023
Utviklingsledelse,Ledelsesbistand innen utviklingsledelse,Erfaring fra ledelse av store utviklingsprosesser med mange parallelle utviklingsteam.,Kompetanse og erfaring med forutberegnelig styring av utviklingsprosessen i store og komplekse prosjekter.,,Helse Midt-Norge RHF,Helse,2023
Drift og forvaltning,Drift og forvaltning,Erfaring fra innføring eller ledelse av drift og forvaltning i tilsvarende organisasjoner.,Erfaring med drift og stabil forvaltning av IT-systemer.,,Helse Midt-Norge RHF,Helse,2023
Kvalitet- og virksomhetsstyring,Ledelsesbistand innen kvalitet- og virksomhetsstyring,Erfaring med kvalitets- og virksomhetsstyring samt ISO 9001 og ISO 27001.,Erfaring med innføring av prosesser for kvalitets- og virksomhetsstyring og risikostyring.,,Helse Midt-Norge RHF,Helse,2023
Fagekspert ADP,Løsningsarkitektur,Dokumentert erfaring innen rådgiving/design av XDR (Extended Detection and Response) løsninger innen sikring av AD (Active Directory). Kompetansen bør understøttes med relevante sertifiseringer.,"Dokumentert, hands on-erfaring fra planlegging/design av sikkerhetsløsninger rettet mot Active Directory. Konsulenten må også kunne tilkjennegi erfaring innenfor feltet på strategisk/taktisk nivå. Erfaring fra lignende oppdrag i offentlig sektor, evt andre store komplekse organisasjoner. Meritterende med oppdrag fra helsesektor.",God erfaring med behov og krav til prosesser og rutiner for automatisert respons.,Helse Nord IKT,Helse,2023
Fagekspert EPP,Rådgivning teknisk,Dokumentert erfaring innen rådgiving/design av EDR (Endpoint Detection and Response) løsninger innen endepunktsikring. Solid erfaring på strategisk/taktisk nivå innenfor området Endpoint Protection med EDR (Endpoint Detection and Response).,"Dokumentert erfaring fra planlegging av prosjekter, fortrinnsvis design av EDR løsninger. Erfaring fra offentlig/helsesektoren.",God skriftlig og muntlig fremstillingsevne.,Helse Nord IKT,Helse,2023
Prosjektleder til Ny plattform for datavarehuset,Prosjektledelse,"Dokumentert erfaring fra utredningsarbeid knyttet til infrastruktur og plattform, helst for liknende arbeidslaster.",Spesialist med min. 8 års erfaring. Dokumentert erfaring fra oppdrag knyttet til datavarehusløsninger fra SAS Institute vil være en fordel.,,Helse Nord IKT,Helse,2023
Beslutningsstøtte Informasjonsforvaltning,Virksomhetsarkitektur,"Kompetanse innenfor kunnskapsrepresentasjon og kunnskapsforvaltning. Kjennskap til teknikker, metoder og bruksområder for maskinlæring og kunstig intelligens.","Høyere utdanning, fortrinnsvis innen IKT. Erfaring med fasilitering av arbeid med klinisk beslutningsstøtte og kunnskapsinnhold.","Analytisk, strukturert, evne til å være prosessdriver og jobbe i tverrfaglige team, fleksibel og tilpasningsdyktig, stor arbeidskapasitet og arbeider godt under press, løsningsorientert",Helseplattformen AS,Helse,2023
Innføringsleder / Assisterende prosjektleder,Prosjektledelse,"Erfaring som prosjektleder fra større organisasjoner, fortrinnsvis helsetjenesten. Erfaring fra samarbeid med leverandører. Erfaring fra å overlevere løsninger fra prosjekt til drift/forvaltning. Kjennskap til laboratorie- og radiologisystemer er en fordel. Gode muntlige og skriftlige kommunikasjonsferdigheter.",Erfaring fra helse Vest er ønsket. Språk: Flytende norsk og engelsk skriftlig og muntlig.,"Selvgående og evne til å drive prosesser fremover, lederegenskaper, gode samarbeidsevner, evne til å strukturere og planlegge, evne til å skape en god dialog",Helse Vest RHF,Helse,2023
Spesialist i M365 – Exchange Online,Løsningsarkitektur,Dokumentert kompetanse på M365 administrasjon inkl. Exchange Online.,Dokumenter erfaring på planlegging og gjennomføring av migrering av e-post til M365. Erfaring fra liknende oppdrag fra spesialisthelsetjenesten vil være en fordel.,,Helse Nord IKT,Helse,2023
Spesialist i M365 – Exchange Online,Løsningsarkitektur,Dokumentert kompetanse på M365 administrasjon inkl. Exchange Online.,Dokumenter erfaring på planlegging og gjennomføring av migrering av e-post til M365. Erfaring fra liknende oppdrag fra spesialisthelsetjenesten vil være en fordel.,,Helse Nord IKT,Helse,2023
Prosessleder for moderniseringsprogrammet,Prosessledelse og fasilitering,"Bachelor- eller mastergrad innen ledelse, teknologi, organisasjonsteori, eller et relatert felt.","Minimum 3-5 års erfaring fra arbeid med prosessledelse, prosjektledelse, eller lignende roller. Erfaring med endringsledelse og evne til å håndtere motstand mot endring. Erfaring fra Program/prosjektkontor i større program/prosjekt.","Dyktig til å produsere underlag for beslutning. God til å dokumentere, samt ta notater fra møter for å omsette disse til prosessunderlag. God til å utarbeide presentasjoner (PPT eller Keynote).",NRK,Offentlig og stat,2023
Smidig prosjektleder,Prosjektledelse,"Minimum en bachelorgrad innen informatikk, prosjektledelse eller relaterte felt. Dyptgående kunnskap om smidige metoder og rammeverk som Scrum, Kanban eller Lean.","Solid erfaring som prosjektleder, helst innen IT- eller teknologidrevne prosjekter, minimum 3-5 år.",Evne til å motivere og lede et tverrfaglig team for å oppnå resultater i henhold til tidsfrister og kvalitetsstandarder. Sterke analytiske ferdigheter med evnen til å identifisere og løse komplekse problemer.,NRK,Offentlig og stat,2023
Smidig prosjektleder,Prosjektledelse,"Minimum en bachelorgrad innen informatikk, prosjektledelse eller relaterte felt. Solid erfaring som prosjektleder, helst innen IT- eller teknologidrevne prosjekter, minimum 3-5 år. Dyptgående kunnskap om smidige metoder og rammeverk som Scrum, Kanban eller Lean. Utmerket kommunikasjonsevne, både skriftlig og muntlig.","Erfaring som prosjektleder, IT- eller teknologidrevne prosjekter, minimum 3-5 år. Erfaring med LOA og innkjøpsprosesser. Har ledet større endringsløp innenfor teknologi.",Evne til å motivere og lede et tverrfaglig team. Sterke analytiske ferdigheter med evnen til å identifisere og løse komplekse problemer. Gode samarbeids- og lederevner.,NRK,Offentlig og stat,2023
